id,y
0,0
1,2
2,3
3,0
4,2
5,0
6,3
7,0
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,2
22,0
23,2
24,0
25,0
26,2
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,2
35,1
36,0
37,0
38,3
39,0
40,0
41,2
42,0
43,0
44,1
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,3
53,1
54,0
55,0
56,0
57,0
58,0
59,2
60,0
61,0
62,2
63,0
64,2
65,0
66,0
67,3
68,2
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,3
77,2
78,0
79,2
80,0
81,0
82,2
83,0
84,0
85,0
86,0
87,0
88,0
89,2
90,2
91,0
92,3
93,0
94,2
95,2
96,3
97,1
98,2
99,0
100,0
101,2
102,0
103,0
104,2
105,0
106,0
107,2
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,3
119,0
120,2
121,1
122,0
123,0
124,0
125,1
126,0
127,0
128,2
129,0
130,0
131,2
132,1
133,0
134,0
135,0
136,2
137,3
138,0
139,1
140,1
141,1
142,0
143,1
144,2
145,2
146,3
147,0
148,0
149,0
150,0
151,2
152,0
153,0
154,3
155,0
156,0
157,0
158,0
159,1
160,0
161,3
162,0
163,0
164,3
165,0
166,0
167,0
168,2
169,0
170,1
171,0
172,2
173,0
174,1
175,0
176,0
177,1
178,2
179,0
180,0
181,3
182,3
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,2
191,3
192,2
193,0
194,0
195,0
196,3
197,0
198,0
199,0
200,3
201,2
202,0
203,2
204,2
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,2
213,0
214,3
215,2
216,2
217,0
218,1
219,1
220,2
221,0
222,0
223,3
224,2
225,0
226,1
227,0
228,2
229,0
230,2
231,0
232,2
233,1
234,0
235,0
236,0
237,0
238,2
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,2
248,0
249,0
250,2
251,3
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,2
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,2
268,0
269,0
270,0
271,0
272,3
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,2
285,1
286,0
287,0
288,2
289,0
290,0
291,0
292,0
293,2
294,2
295,0
296,0
297,0
298,0
299,0
300,2
301,0
302,1
303,1
304,0
305,0
306,0
307,1
308,1
309,2
310,0
311,2
312,0
313,0
314,2
315,1
316,0
317,0
318,3
319,0
320,0
321,0
322,0
323,2
324,0
325,0
326,0
327,0
328,1
329,0
330,0
331,0
332,2
333,0
334,0
335,0
336,2
337,3
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,2
346,0
347,0
348,2
349,0
350,2
351,0
352,0
353,2
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,0
362,2
363,0
364,0
365,1
366,0
367,2
368,0
369,0
370,0
371,0
372,1
373,2
374,0
375,0
376,2
377,3
378,0
379,3
380,0
381,0
382,0
383,2
384,0
385,3
386,0
387,2
388,0
389,0
390,0
391,2
392,1
393,1
394,3
395,0
396,0
397,2
398,0
399,0
400,0
401,1
402,2
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,3
416,0
417,0
418,0
419,0
420,0
421,3
422,1
423,0
424,0
425,0
426,0
427,2
428,2
429,1
430,3
431,2
432,2
433,0
434,3
435,0
436,0
437,0
438,3
439,2
440,0
441,0
442,2
443,2
444,1
445,1
446,0
447,2
448,0
449,0
450,1
451,2
452,2
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,3
462,0
463,0
464,2
465,0
466,0
467,2
468,0
469,0
470,2
471,0
472,0
473,2
474,3
475,0
476,0
477,0
478,0
479,0
480,0
481,2
482,2
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,0
492,1
493,0
494,0
495,3
496,0
497,0
498,2
499,0
500,0
501,1
502,0
503,0
504,0
505,1
506,0
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,2
515,0
516,0
517,0
518,0
519,0
520,0
521,2
522,0
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,0
531,0
532,3
533,0
534,0
535,2
536,0
537,0
538,0
539,3
540,2
541,0
542,0
543,1
544,0
545,2
546,0
547,1
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,2
556,2
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,2
565,2
566,2
567,3
568,2
569,0
570,2
571,0
572,0
573,2
574,0
575,0
576,0
577,0
578,3
579,0
580,2
581,0
582,0
583,0
584,2
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,1
593,0
594,2
595,2
596,0
597,0
598,0
599,2
600,0
601,2
602,0
603,1
604,0
605,2
606,2
607,2
608,0
609,1
610,0
611,1
612,0
613,2
614,0
615,3
616,0
617,2
618,0
619,0
620,0
621,1
622,0
623,0
624,3
625,2
626,0
627,0
628,2
629,3
630,0
631,0
632,0
633,2
634,3
635,0
636,2
637,0
638,0
639,2
640,2
641,0
642,0
643,2
644,0
645,0
646,0
647,0
648,0
649,0
650,1
651,0
652,1
653,0
654,2
655,3
656,0
657,2
658,0
659,2
660,1
661,1
662,0
663,2
664,1
665,2
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,2
674,1
675,0
676,0
677,0
678,2
679,0
680,0
681,2
682,2
683,0
684,0
685,0
686,0
687,0
688,1
689,2
690,1
691,2
692,3
693,1
694,3
695,1
696,2
697,0
698,0
699,2
700,3
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,2
709,2
710,0
711,3
712,0
713,2
714,0
715,0
716,0
717,0
718,2
719,1
720,0
721,1
722,0
723,0
724,0
725,0
726,0
727,0
728,1
729,1
730,0
731,0
732,0
733,0
734,0
735,3
736,0
737,2
738,0
739,3
740,0
741,0
742,2
743,0
744,2
745,0
746,0
747,2
748,0
749,2
750,0
751,2
752,0
753,0
754,0
755,0
756,0
757,2
758,1
759,0
760,0
761,2
762,0
763,0
764,0
765,0
766,3
767,0
768,2
769,1
770,0
771,0
772,0
773,0
774,1
775,1
776,0
777,0
778,1
779,0
780,2
781,0
782,2
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,2
799,0
800,1
801,2
802,2
803,3
804,0
805,0
806,0
807,2
808,0
809,0
810,1
811,3
812,0
813,2
814,0
815,0
816,0
817,0
818,0
819,2
820,2
821,0
822,2
823,0
824,2
825,2
826,0
827,0
828,1
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,1
837,0
838,0
839,0
840,1
841,2
842,0
843,0
844,0
845,3
846,0
847,3
848,0
849,0
850,1
851,0
852,0
853,1
854,0
855,0
856,1
857,1
858,1
859,3
860,2
861,0
862,0
863,0
864,3
865,0
866,1
867,0
868,2
869,1
870,2
871,3
872,2
873,0
874,1
875,1
876,2
877,2
878,0
879,0
880,2
881,0
882,1
883,2
884,0
885,0
886,2
887,0
888,0
889,2
890,2
891,0
892,0
893,3
894,0
895,3
896,0
897,0
898,0
899,2
900,0
901,0
902,2
903,0
904,0
905,0
906,0
907,3
908,1
909,0
910,0
911,0
912,3
913,1
914,0
915,0
916,2
917,3
918,0
919,0
920,1
921,0
922,2
923,0
924,0
925,1
926,0
927,0
928,0
929,0
930,2
931,0
932,2
933,0
934,0
935,0
936,0
937,0
938,2
939,0
940,0
941,0
942,1
943,0
944,0
945,0
946,0
947,3
948,1
949,0
950,0
951,0
952,0
953,0
954,0
955,2
956,2
957,2
958,0
959,2
960,0
961,2
962,0
963,0
964,0
965,0
966,2
967,1
968,0
969,0
970,1
971,2
972,1
973,1
974,0
975,0
976,0
977,2
978,2
979,2
980,3
981,0
982,1
983,0
984,0
985,0
986,0
987,0
988,2
989,0
990,0
991,1
992,0
993,3
994,0
995,0
996,0
997,1
998,0
999,0
1000,0
1001,3
1002,1
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,1
1010,2
1011,0
1012,2
1013,1
1014,0
1015,0
1016,2
1017,0
1018,2
1019,1
1020,0
1021,0
1022,0
1023,1
1024,0
1025,3
1026,0
1027,0
1028,0
1029,0
1030,2
1031,0
1032,1
1033,0
1034,2
1035,0
1036,0
1037,0
1038,0
1039,0
1040,2
1041,1
1042,0
1043,0
1044,0
1045,0
1046,0
1047,1
1048,0
1049,1
1050,0
1051,1
1052,0
1053,0
1054,0
1055,2
1056,0
1057,0
1058,0
1059,0
1060,0
1061,2
1062,2
1063,0
1064,0
1065,0
1066,2
1067,0
1068,1
1069,0
1070,0
1071,0
1072,2
1073,2
1074,0
1075,0
1076,0
1077,2
1078,0
1079,0
1080,0
1081,0
1082,2
1083,2
1084,0
1085,0
1086,2
1087,0
1088,3
1089,0
1090,2
1091,0
1092,2
1093,0
1094,2
1095,3
1096,0
1097,0
1098,2
1099,1
1100,3
1101,2
1102,1
1103,3
1104,0
1105,0
1106,1
1107,0
1108,0
1109,0
1110,2
1111,0
1112,1
1113,2
1114,2
1115,2
1116,0
1117,1
1118,0
1119,2
1120,2
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,1
1128,0
1129,3
1130,0
1131,3
1132,0
1133,1
1134,2
1135,0
1136,0
1137,2
1138,1
1139,0
1140,2
1141,2
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,2
1151,0
1152,0
1153,0
1154,0
1155,0
1156,1
1157,1
1158,1
1159,0
1160,0
1161,2
1162,0
1163,1
1164,2
1165,0
1166,1
1167,0
1168,0
1169,0
1170,1
1171,0
1172,0
1173,0
1174,3
1175,0
1176,3
1177,1
1178,2
1179,0
1180,1
1181,0
1182,0
1183,0
1184,3
1185,0
1186,0
1187,1
1188,0
1189,0
1190,3
1191,0
1192,2
1193,0
1194,1
1195,0
1196,2
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,3
1208,0
1209,2
1210,1
1211,0
1212,0
1213,2
1214,0
1215,3
1216,0
1217,0
1218,3
1219,0
1220,0
1221,2
1222,2
1223,3
1224,0
1225,3
1226,2
1227,0
1228,0
1229,0
1230,1
1231,2
1232,0
1233,0
1234,0
