id,y0,y1,y2,y3
0.0,0.46315587,0.08250847,0.42892197,0.025413714
1.0,0.18141603,0.15198784,0.66489404,0.0017020951
2.0,0.3449675,0.09394384,0.312947,0.24814168
3.0,0.45170486,0.1234065,0.41280213,0.012086505
4.0,0.42706993,0.089724235,0.47732168,0.0058841296
5.0,0.7872481,0.004418747,0.12032199,0.08801123
6.0,0.123907745,0.122825816,0.22010247,0.53316396
7.0,0.4823284,0.04674055,0.2715907,0.19934037
8.0,0.06686343,0.17760022,0.7040474,0.05148896
9.0,0.59833115,0.05259508,0.3413393,0.0077344263
10.0,0.90828884,0.000826002,0.0908175,6.7688416e-05
11.0,0.75521564,0.036736824,0.17257011,0.03547742
12.0,0.4598685,0.2341616,0.2797132,0.026256679
13.0,0.5733621,0.14965384,0.2742721,0.0027119096
14.0,0.596157,0.057056997,0.3108923,0.03589364
15.0,0.41847265,0.27689165,0.25602263,0.04861311
16.0,0.7944584,0.028415576,0.17361523,0.0035108211
17.0,0.52759707,0.106944546,0.21126296,0.15419541
18.0,0.46684715,0.032651193,0.49583527,0.0046663666
19.0,0.05955408,0.73845565,0.20111057,0.0008796931
20.0,0.5002842,0.14076878,0.35266998,0.006277068
21.0,0.28944516,0.16332142,0.5127182,0.03451524
22.0,0.46578914,0.048018094,0.4076702,0.078522556
23.0,0.11006292,0.2757332,0.5464461,0.06775782
24.0,0.6789749,0.0024857523,0.31542522,0.0031140808
25.0,0.37075812,0.18656053,0.21629459,0.22638677
26.0,0.07233445,0.0016629772,0.9210466,0.0049559856
27.0,0.47229263,0.12339793,0.38501278,0.019296657
28.0,0.722767,0.070563406,0.19012418,0.016545424
29.0,0.65271896,0.024453897,0.30339316,0.019433962
30.0,0.6439627,0.009060577,0.33969414,0.0072826217
31.0,0.4525892,0.09968616,0.29670203,0.15102263
32.0,0.45082587,0.18877196,0.3603392,6.295344e-05
33.0,0.562651,0.075472966,0.3476849,0.01419121
34.0,0.18175577,0.13142474,0.6845054,0.0023140784
35.0,0.15024577,0.44001633,0.40796053,0.0017773458
36.0,0.67071605,0.05235732,0.27358,0.0033465952
37.0,0.38733333,0.1421395,0.42340395,0.0471232
38.0,0.4007029,0.10744834,0.17621621,0.31563252
39.0,0.5961334,0.026251426,0.2167945,0.16082062
40.0,0.54566133,0.11440169,0.30946663,0.030470379
41.0,0.0348054,0.19264284,0.7619866,0.010565167
42.0,0.5788295,0.11710208,0.2528503,0.051218092
43.0,0.53668916,0.021887302,0.22802927,0.21339427
44.0,0.285579,0.3344088,0.34662387,0.03338836
45.0,0.7566009,0.024291473,0.21498874,0.0041188616
46.0,0.5916732,0.07506058,0.28235957,0.050906632
47.0,0.3202404,0.16304517,0.5086242,0.008090246
48.0,0.6844125,0.047261156,0.26773638,0.00058997585
49.0,0.6528148,0.003920125,0.34256235,0.00070267887
50.0,0.7417689,0.0008256881,0.2552193,0.002186132
51.0,0.5766012,0.08763316,0.21325153,0.12251413
52.0,0.09562567,0.091008015,0.21205866,0.6013077
53.0,0.17709953,0.5750234,0.2339715,0.013905565
54.0,0.75903285,0.0048873485,0.15870194,0.07737789
55.0,0.70490336,0.0057083024,0.28578138,0.0036069474
56.0,0.46704638,0.08816183,0.23824434,0.20654745
57.0,0.5101538,0.16137268,0.31715032,0.011323252
58.0,0.610968,0.019014938,0.36223373,0.007783362
59.0,0.28504634,0.22555071,0.48840296,0.0010000098
60.0,0.5720159,0.08045205,0.24867743,0.09885462
61.0,0.5626337,0.1024463,0.20731468,0.12760529
62.0,0.60983545,0.0007788512,0.38601163,0.003374077
63.0,0.63353175,0.009716403,0.34531683,0.0114349965
64.0,0.20160325,0.11881177,0.6754266,0.004158379
65.0,0.4567678,0.053779583,0.30123955,0.18821308
66.0,0.41499773,0.2419958,0.27075446,0.07225204
67.0,0.40182215,0.020113388,0.14127968,0.43678477
68.0,0.48340103,0.0138219185,0.5014752,0.001301818
69.0,0.5646769,0.14018707,0.22984067,0.06529538
70.0,0.58827996,0.1148345,0.24079962,0.0560859
71.0,0.57310003,0.009508922,0.40730286,0.010088193
72.0,0.0768399,0.52375674,0.39923605,0.00016731833
73.0,0.57200503,0.122640334,0.2982922,0.0070624873
74.0,0.52226096,0.021315906,0.3115174,0.14490576
75.0,0.52995765,0.019374065,0.44780406,0.0028642246
76.0,0.27722374,0.22724955,0.17139125,0.32413548
77.0,0.017476713,0.3288986,0.6529218,0.0007028702
78.0,0.73512846,0.057945225,0.1279931,0.07893321
79.0,0.20444141,0.30925858,0.4502748,0.03602518
80.0,0.5548677,0.039013352,0.39983657,0.0062824124
81.0,0.7504742,0.009338015,0.23768261,0.0025051227
82.0,0.34297246,0.18011501,0.47405228,0.0028602604
83.0,0.45611247,0.46393803,0.003023844,0.07692566
84.0,0.60933465,0.002501757,0.38810784,5.575895e-05
85.0,0.3312809,0.30042142,0.36587602,0.0024216655
86.0,0.5015455,0.0063311756,0.35111594,0.14100742
87.0,0.6391977,0.018621143,0.32776767,0.014413501
88.0,0.37355015,0.20250453,0.18591766,0.23802768
89.0,0.42342758,0.15180531,0.36513993,0.059627164
90.0,0.40272418,0.06631752,0.5184033,0.012555029
91.0,0.40654814,0.07796329,0.48850858,0.026979985
92.0,0.19050813,0.035585638,0.1765354,0.59737086
93.0,0.4836187,0.03329123,0.45884514,0.024244905
94.0,0.32703555,0.23153272,0.4393704,0.0020613256
95.0,0.3516154,0.1381524,0.50892997,0.001302211
96.0,0.28502357,0.10760658,0.20520534,0.4021645
97.0,0.20553444,0.5865102,0.19009858,0.017856792
98.0,0.2618017,0.1253171,0.6120513,0.0008298787
99.0,0.84485865,0.016802808,0.1375391,0.00079946197
100.0,0.4871849,0.15548831,0.32599315,0.031333596
101.0,0.36380953,0.045089558,0.5861892,0.004911684
102.0,0.6798779,0.058305137,0.19372462,0.06809237
103.0,0.7115562,0.079633735,0.20331225,0.0054978575
104.0,0.3186034,0.17208764,0.46701226,0.04229669
105.0,0.7848859,0.031983346,0.17832637,0.0048044217
106.0,0.7273156,0.03222934,0.17171179,0.06874328
107.0,0.51390314,0.014636723,0.4706655,0.00079461647
108.0,0.68636316,0.03044621,0.2730237,0.010166927
